timestamp,label,hand_x_px,hand_y_px,shoulder_x_px,shoulder_y_px,elbow_x_px,elbow_y_px,wrist_x_px,wrist_y_px,elbow_angle_deg,marker_x_px,marker_y_px,marker_distance_cm,hand_marker_dist_px,hand_speed_px_per_s,approach_speed_cm_per_s
1783321865.6221626,safe,355.3910827636719,536.6467666625977,718.4209442138672,606.728081703186,664.2756652832031,825.9784126281738,406.46728515625,529.5126485824585,54.88241489449324,,,,,71.42564950314004,0.0
1783321865.6848266,safe,360.22178649902344,540.990571975708,711.6831970214844,610.2442216873169,675.5235290527344,824.5780849456787,404.74658966064453,526.9272565841675,51.86924881192931,,,,,103.67170419520608,0.0
1783321865.7477942,safe,378.21949005126953,545.8518505096436,712.9106903076172,611.4241361618042,689.9048614501953,819.2199325561523,416.71653747558594,530.251350402832,49.70977238177453,,,,,296.06804039524405,0.0
1783321865.8714058,safe,699.4697570800781,510.22430419921875,721.0710144042969,626.8307018280029,819.0903472900391,781.1981391906738,685.2059936523438,528.7740325927734,4.473259558339576,,,,,5153.352784779461,0.0
1783321865.9373357,safe,771.7676544189453,497.5619173049927,716.9457244873047,629.3188905715942,828.6717224121094,766.7555809020996,748.6476898193359,533.0833339691162,20.204172812252832,,,,,1113.2792591673704,0.0
1783321865.9991367,safe,951.2412261962891,530.1493835449219,717.6726531982422,650.3721714019775,896.746826171875,843.986291885376,912.8845977783203,542.2424983978271,45.82717221504985,,,,,2951.541285599778,0.0
1783321866.0583348,safe,965.8758544921875,536.1318683624268,717.1339416503906,657.0477819442749,912.1061706542969,883.5958671569824,941.90673828125,548.3727407455444,45.79611484246985,,,,,267.0725998939143,0.0
1783321866.119944,safe,972.7334594726562,538.8254070281982,717.0077514648438,666.3329458236694,923.9441680908203,915.1824188232422,954.5452117919922,564.1181659698486,44.727665402000504,,,,,119.58630759469543,0.0
1783321866.1824062,safe,976.7950439453125,539.7286033630371,716.6911315917969,669.8091316223145,923.6377716064453,910.4474830627441,960.6330871582031,567.5481748580933,46.85301795817455,,,,,66.61315605121688,0.0
1783321866.2391582,safe,966.09375,546.1095142364502,716.0286712646484,674.5445394515991,920.7303619384766,914.4381809234619,939.2609405517578,569.4969606399536,43.54921735928191,,,,,219.53921746654862,0.0
1783321867.3455315,safe,352.07191467285156,530.4384613037109,717.6118469238281,636.8510055541992,693.3335876464844,765.1266002655029,394.53208923339844,517.2525072097778,61.03961408693758,,,,,84.106651081699,0.0
1783321867.4157557,safe,364.4630813598633,532.993426322937,722.1113586425781,635.5811834335327,707.9095458984375,802.6662826538086,407.5728988647461,518.3222579956055,51.425125974996845,,,,,180.1632039573422,0.0
1783321867.478654,safe,381.7913055419922,533.8891983032227,722.9238891601562,635.8181619644165,711.6921997070312,804.4447803497314,416.1165237426758,512.4156045913696,49.15646883990023,,,,,275.86438452428547,0.0
1783321867.5398743,safe,537.7142715454102,562.47802734375,727.0686340332031,636.1635875701904,799.3023681640625,868.2748317718506,544.8175048828125,546.1086988449097,21.019543885211366,,,,,2589.368822535969,0.0
1783321867.6067963,safe,554.9759292602539,535.4286575317383,728.1702423095703,636.5182399749756,850.1713562011719,797.8714370727539,626.9831466674805,544.4305372238159,4.274814345923171,,,,,479.48242480540057,0.0
1783321867.7317734,safe,1024.4269561767578,509.52220916748047,740.8666229248047,660.8982753753662,1055.9440612792969,839.9253845214844,1012.1646881103516,524.2789506912231,52.4983422968447,,,,,7453.693383449906,0.0
1783321867.7916431,safe,1077.734603881836,534.2079305648804,744.0816497802734,672.2619581222534,1069.9237060546875,884.0910243988037,1060.8412170410156,528.1023645401001,55.51071606280966,,,,,981.2294837917373,0.0
1783321867.852034,safe,1102.2331237792969,543.813157081604,749.5256805419922,675.5613327026367,1063.261947631836,882.7823638916016,1087.7132415771484,543.8464164733887,60.68170966388625,,,,,435.73108611914824,0.0
1783321867.91294,safe,1113.9865112304688,554.1632652282715,752.2917175292969,676.4674043655396,1050.3837585449219,901.7454528808594,1103.1195068359375,569.7320079803467,61.94569604047063,,,,,257.13419088903856,0.0
1783321868.9274776,safe,365.65799713134766,504.7470188140869,710.0068664550781,642.3921918869019,687.2739410400391,810.2846145629883,402.4504852294922,480.43822288513184,48.521769846260355,,,,,37.85816920103079,0.0
1783321868.9981647,safe,395.1921081542969,510.7666254043579,714.1370391845703,646.8710947036743,698.5242462158203,829.0985298156738,415.88050842285156,476.67866706848145,43.62691136160535,,,,,426.4051341204462,0.0
1783321869.0668776,safe,425.8811950683594,513.4322690963745,727.8855895996094,651.7388105392456,714.9008178710938,767.6537132263184,439.86549377441406,478.7955951690674,49.98740163596345,,,,,448.30905880220536,0.0
1783321869.131285,safe,469.31854248046875,513.8794040679932,727.5572967529297,652.6783561706543,757.3866271972656,764.232587814331,446.05663299560547,495.077805519104,34.18502455698363,,,,,674.4517454949154,0.0
1783321869.2047,safe,750.1424407958984,496.30720138549805,733.7744903564453,654.3509387969971,922.2489929199219,770.332145690918,735.7449340820312,495.5613327026367,24.226001247698193,,,,,3832.636156606139,0.0
1783321869.266999,safe,843.2210540771484,492.13977813720703,731.4865875244141,661.120662689209,958.9543914794922,773.4168148040771,858.9485168457031,497.7670955657959,43.78459873421124,,,,,1495.5591786295697,0.0
1783321869.3257413,safe,935.2547454833984,503.7316417694092,735.9725952148438,665.8131122589111,1049.8695373535156,828.0054759979248,954.6929168701172,507.0909261703491,46.155072158155306,,,,,1579.115125581788,0.0
1783321869.3892694,safe,1112.8854370117188,549.3558883666992,746.7559051513672,667.7650308609009,1062.413330078125,864.4185447692871,1098.6546325683594,542.5101184844971,64.50069542352531,,,,,2886.856351465635,0.0
1783321869.4514003,safe,1115.9546661376953,551.0781240463257,754.7135162353516,669.92431640625,1058.8531494140625,884.2332458496094,1111.7826080322266,558.226490020752,64.05184684743618,,,,,56.64509517615078,0.0
1783321869.512939,safe,1115.7061004638672,552.9562282562256,755.6012725830078,671.7185640335083,1054.20166015625,883.7349987030029,1105.8721923828125,565.8917713165283,63.8575278400234,,,,,30.785207640426272,0.0
1783321870.4673584,safe,397.02762603759766,532.0201921463013,736.5325164794922,650.1754903793335,713.7428283691406,845.059175491333,421.6139602661133,486.53374671936035,45.84324561505143,,,,,95.82370984815383,0.0
1783321870.5329187,safe,414.0958023071289,533.9788484573364,735.9300231933594,657.0464944839478,715.6725311279297,870.908031463623,424.7805404663086,485.5819272994995,42.46109001924589,,,,,262.05158705615946,0.0
1783321870.597998,safe,446.9774627685547,535.1661014556885,735.2156066894531,657.1561861038208,731.9917297363281,887.5391006469727,444.5020294189453,487.52753734588623,36.50665322095726,,,,,505.5852145891807,0.0
1783321870.7159877,safe,724.4110870361328,502.0737361907959,768.7226867675781,641.554741859436,904.3477630615234,800.1385688781738,731.4439392089844,502.1641159057617,10.412888632799644,,,,,4602.396229750526,0.0
